Chr	Gene_ID	Product description	Gene Identification	MIS	MFS	# of insertions in CDS	# of nor malized reads (raw)	Note*	# of TTAA in CDS	TTAA density in CDS	transcript length	geneStart	endStart	gene strand	Ortholog count	Paralog count	NonSyn/Syn SNP Ratio	GO Processes	GO Functions	GO Components		
chr3	PF3D7_0320800	ATP-dependent RNA helicase DDX6	Mutable in CDS	1	-1.795	2	8.42		11	8.45	1302	870808	872333	+	18	0	0.25	N/A	"ATP-dependent RNA helicase activity, protein binding"	cytoplasmic mRNA processing body		
chr3	PF3D7_0320900	"histone H2A variant, putative"	Non - Mutable in CDS	0.16	-3.448	0	0.8	tentative	6	12.58	477	875204	876286	+	18	0	0	chromatin assembly or disassembly	DNA binding	nucleosome		
chr3	PF3D7_0321000	"conserved Plasmodium protein, unknown function"	Non - Mutable in CDS	0.213	-2.651	0	13.79		17	11.49	1479	877726	879502	+	19	0	10.67	N/A	endonuclease activity	apicoplast		
chr3	PF3D7_0321100	"conserved Plasmodium protein, unknown function"	Mutable in CDS	1	-2.053	4	107.14		66	11.92	5535	879950	885484	-	18	0	4.85	N/A	transferase activity	N/A		
chr3	PF3D7_0321200	"UDP-N-acetylglucosamine--dolichyl-phosphate N-acetylglucosaminephosphotransferase, putative"	Non - Mutable in CDS	0.131	-2.94	0	0.93		21	17.59	1194	886953	888967	-	18	0	1	"dolichol-linked oligosaccharide biosynthetic process, protein N-linked glycosylation"	UDP-N-acetylglucosamine-dolichyl-phosphate N-acetylglucosaminephosphotransferase activity	UDP-N-acetylglucosamine transferase complex		
chr3	PF3D7_0321300	"conserved Plasmodium protein, unknown function"	Mutable in CDS	1	-2.265	1	21.69		23	8.36	2751	890005	892755	-	18	0	2.5	N/A	N/A	N/A		
chr3	PF3D7_0321400	"protein kinase, putative"	Non - Mutable in CDS	0.31	-2.59	0	4.69		10	10.42	960	894752	896103	+	18	0	0.63	protein phosphorylation	protein kinase activity	N/A		
chr3	PF3D7_0321500	"peptidase, putative"	Mutable in CDS	1	0.011	4	923.17		46	14.26	3225	896537	899761	-	19	0	3.57	N/A	N/A	N/A		
chr3	PF3D7_0321600	"ATP-dependent RNA helicase DDX42, putative"	Mutable in CDS	1	0.124	4	315.82		28	12.68	2208	900848	903360	+	18	0	2.56	N/A	N/A	N/A		
chr3	PF3D7_0321700	"microtubule and actin binding protein, putative"	Non - Mutable in CDS	0.163	-2.773	0	37.5		73	12.5	5841	903755	910109	-	20	0	6.61	N/A	N/A	N/A		
chr3	PF3D7_0321800	"WD repeat-containing protein, putative"	Non - Mutable in CDS	0.243	-2.635	0	52.44		90	11.08	8121	912909	921029	+	18	0	4.2	N/A	N/A	N/A		
chr3	PF3D7_0321900	cyclic amine resistance locus protein	Non - Mutable in CDS	0.187	-2.781	0	23.67		46	11.94	3852	922967	927935	+	19	0	3	response to drug	N/A	cis-Golgi network		
chr3	PF3D7_0322000	peptidyl-prolyl cis-trans isomerase	Non - Mutable in CDS	1	0	0	0	tentative	1	1.94	516	928638	929153	-	20	0	0	protein folding	"cyclosporin A binding, peptidyl-prolyl cis-trans isomerase activity"	cytosol		
chr3	PF3D7_0322100	mRNA-capping enzyme subunit beta	Non - Mutable in CDS	0.901	-2.393	0	5.35		13	7.32	1776	930634	932409	-	18	0	2.94	N/A	ATPase activity	N/A		
chr3	PF3D7_0322200	"conserved Plasmodium protein, unknown function"	Mutable in CDS	0.693	-0.397	1	225.83		38	16.8	2262	933182	937000	-	19	0	2.58	N/A	N/A	N/A		
chr3	PF3D7_0322300	diacylglycerol O-acyltransferase	Non - Mutable in CDS	0.199	-2.812	0	8.45		23	11.72	1962	938206	940167	-	18	0	2.93	triglyceride biosynthetic process	diacylglycerol O-acyltransferase activity	endoplasmic reticulum		
chr3	PF3D7_0322400	regulator of initiation factor 2 (eIF2)	Non - Mutable in CDS	0.146	-2.823	0	20.17		34	13.06	2604	942539	945295	+	18	0	6.06	N/A	N/A	N/A		
chr3	PF3D7_0322500	"iron-sulfur assembly protein, putative"	Mutable in CDS	0.987	-2.083	1	27.7		15	12.35	1215	945531	946745	-	28	0	7.89	N/A	N/A	N/A		
chr3	PF3D7_0322600	"conserved Plasmodium protein, unknown function"	Mutable in CDS	1	-2.863	3	47.71		65	16.07	4044	948368	952687	+	18	0	4.17	N/A	N/A	N/A		
chr3	PF3D7_0322700	"conserved Plasmodium protein, unknown function"	Non - Mutable in CDS	0.14	-2.941	0	47.92		124	13.35	9291	952958	962361	-	18	0	3.62	N/A	N/A	N/A		
chr3	PF3D7_0322800	"conserved Plasmodium protein, unknown function"	Mutable in CDS	1	-0.976	4	82.87		10	18.32	546	964095	965197	+	19	0	0.5	N/A	N/A	N/A		
chr3	PF3D7_0322900	"40S ribosomal protein S3A, putative"	Non - Mutable in CDS	0.13	-2.796	0	5.96		11	13.94	789	965547	966496	-	19	0	0.17	translation	structural constituent of ribosome	cytosolic small ribosomal subunit		
chr3	PF3D7_0323000	"translation machinery-associated protein 7, putative"	Non - Mutable in CDS	0.178	-3.031	0	1.17	tentative	2	12.12	165	968669	969196	-	10	0	1	N/A	N/A	N/A		
chr3	PF3D7_0323100	"conserved Plasmodium protein, unknown function"	Non - Mutable in CDS	0.131	-2.925	0	25.98		64	13.83	4629	971160	975788	+	20	0	2.91	N/A	N/A	N/A		
chr3	PF3D7_0323200	"conserved Plasmodium protein, unknown function"	Non - Mutable in CDS	0.122	-3.225	0	9.23		22	16.59	1326	976860	978185	+	18	0	4	N/A	N/A	N/A		
chr3	PF3D7_0323300	"conserved protein, unknown function"	Non - Mutable in CDS	0.131	-3.005	0	9.58		18	13.82	1302	978960	980261	+	18	0	3.6	N/A	N/A	N/A		
chr3	PF3D7_0323400	Rh5 interacting protein	Mutable in CDS	0.988	-2.702	1	14.81		40	12.27	3261	980696	983956	-	20	0	5.5	N/A	protein binding	microneme		
chr3	PF3D7_0323500	survival motor neuron-like protein	Non - Mutable in CDS	0.122	-2.931	0	3.94		14	14.77	948	986255	987600	+	18	0	0.83	N/A	"RNA binding, nuclease activity"	spliceosomal complex		
chr3	PF3D7_0323600	"conserved Plasmodium protein, unknown function"	Non - Mutable in CDS	0.2	-3.309	0	17.53		42	20.86	2013	988621	990872	+	19	0	2	N/A	N/A	cytoplasm		
chr3	PF3D7_0323700	"U4/U6.U5 tri-snRNP-associated protein 1, putative"	Non - Mutable in CDS	0.432	-2.425	0	8.5		20	9.61	2082	991534	993615	-	19	0	8.2	maturation of 5S rRNA	N/A	U4/U6 x U5 tri-snRNP complex		
chr3	PF3D7_0323800	"conserved Plasmodium protein, unknown function"	Mutable in CDS	1	-2.909	2	27.97		43	14.66	2934	998631	1001564	+	18	0	6.09	N/A	N/A	apicoplast		
chr3	PF3D7_0323900	"erythrocyte membrane protein 1 (PfEMP1), exon 2, pseudogene"	Mutable in CDS	1	-1.825	1	17.28		12	8.93	1344	1002854	1004204	-	3	4	4.93	N/A	N/A	N/A		
chr3	PF3D7_0324000	exported protein family 1	Mutable in CDS	1	-2.579	2	8.57		12	14.13	849	1005934	1006782	+	12	13	3	N/A	N/A	Maurer's cleft		
chr3	PF3D7_0324100	Pfmc-2TM Maurer's cleft two transmembrane protein	Mutable in CDS	0.999	-2.453	2	13.6		11	15.8	696	1007395	1008184	-	10	12	10.06	translocation of peptides or proteins into host	N/A	"Maurer's cleft, integral component of membrane"		
chr3	PF3D7_0324200	exported protein family 3	Mutable in CDS	0.795	-1.67	1	8.96		11	15.87	693	1010324	1011122	-	5	9	2.25	N/A	N/A	Maurer's cleft		
chr3	PF3D7_0324300	exported protein family 4	Non - Mutable in CDS	0.151	-2.817	0	6.94		12	12.9	930	1012337	1013446	+	8	12	4	N/A	N/A	Maurer's cleft		
chr3	PF3D7_0324400	rifin	Mutable in CDS	1	-0.673	1	29.15		10	9.52	1050	1015777	1016924	+	597	183	5.27	"antigenic variation, cytoadherence to microvasculature, mediated by symbiont protein, modulation by symbiont of host erythrocyte aggregation"	N/A	"Maurer's cleft, host cell plasma membrane, symbiont-containing vacuole"		
chr3	PF3D7_0324500	rifin	Non - Mutable in CDS	0.898	-2.014	0	1.96		7	7.34	954	1018856	1019955	+	597	183	7.28	N/A	N/A	N/A		
chr3	PF3D7_0324600	stevor	Non - Mutable in CDS	0.967	-2.076	0	3.32	tentative	6	6.62	906	1021980	1022990	+	102	40	4.61	modulation by symbiont of host erythrocyte aggregation	N/A	Maurer's cleft		
chr3	PF3D7_0324700	"erythrocyte membrane protein 1 (PfEMP1), exon 2, pseudogene"	Non - Mutable in CDS	0.966	-2.193	0	7.41	tentative	9	6.64	1356	1024036	1025393	+	204	98	3.9	N/A	N/A	N/A		
chr3	PF3D7_0324800	rifin	Mutable in CDS	1	-2.954	1	0.42		9	8.06	1116	1027553	1028911	+	597	183	5.89	"antigenic variation, cytoadherence to microvasculature, mediated by symbiont protein, modulation by symbiont of host erythrocyte aggregation"	N/A	"Maurer's cleft, host cell plasma membrane, symbiont-containing vacuole"		
chr4	PF3D7_0400100	"erythrocyte membrane protein 1, PfEMP1"	Mutable in CDS	1	-0.358	7	157.81		46	5.79	7941	28706	37677	+	204	98	5.27	"antigenic variation, cytoadherence to microvasculature, mediated by symbiont protein, modulation by symbiont of host erythrocyte aggregation, single organismal cell-cell adhesion"	cell adhesion molecule binding	"host cell plasma membrane, infected host cell surface knob"		
chr4	PF3D7_0400200	"erythrocyte membrane protein 1 (PfEMP1), exon 2, pseudogene"	Non - Mutable in CDS	0.245	-2.598	0	2.47		7	11.06	633	39522	40154	+	204	98	2.61	N/A	N/A	N/A		
chr4	PF3D7_0400300	rifin	Non - Mutable in CDS	0.137	-2.792	0	2.48		15	13.48	1113	42032	43374	-	597	183	6.36	"antigenic variation, cytoadherence to microvasculature, mediated by symbiont protein, modulation by symbiont of host erythrocyte aggregation"	N/A	"Maurer's cleft, host cell plasma membrane, symbiont-containing vacuole"		
chr4	PF3D7_0400400	"erythrocyte membrane protein 1, PfEMP1"	Non - Mutable in CDS	0.977	-2.248	0	21.76	tentative	67	6.44	10404	45555	56860	-	204	98	5.42	"antigenic variation, cytoadherence to microvasculature, mediated by symbiont protein, modulation by symbiont of host erythrocyte aggregation, single organismal cell-cell adhesion"	cell adhesion molecule binding	"host cell plasma membrane, infected host cell surface knob"		
chr4	PF3D7_0400500	rifin	Mutable in CDS	1	-2.303	2	3.48		10	8.7	1149	59636	60939	+	597	183	5.35	"antigenic variation, cytoadherence to microvasculature, mediated by symbiont protein, modulation by symbiont of host erythrocyte aggregation"	N/A	"Maurer's cleft, host cell plasma membrane, symbiont-containing vacuole"		
chr4	PF3D7_0400600	"erythrocyte membrane protein 1 (PfEMP1), exon 1, pseudogene"	Non - Mutable in CDS	0.146	-2.793	0	1.6	tentative	2	13.07	153	61411	61563	+	204	98	3.5	N/A	N/A	N/A		
chr4	PF3D7_0400700	rifin	Non - Mutable in CDS	0.221	-2.502	0	7.45		13	11.37	1143	63104	64476	-	597	183	6.56	"antigenic variation, cytoadherence to microvasculature, mediated by symbiont protein, modulation by symbiont of host erythrocyte aggregation"	N/A	"Maurer's cleft, host cell plasma membrane, symbiont-containing vacuole"		
chr4	PF3D7_0400800	stevor	Mutable in CDS	1	-0.988	1	11.99		7	8.05	870	66601	67573	-	102	40	4.94	modulation by symbiont of host erythrocyte aggregation	N/A	Maurer's cleft		
chr4	PF3D7_0400900	rifin	Non - Mutable in CDS	0.12	-2.908	0	5.29		16	16.16	990	69961	71113	-	597	183	7.05	"antigenic variation, cytoadherence to microvasculature, mediated by symbiont protein, modulation by symbiont of host erythrocyte aggregation"	N/A	"Maurer's cleft, host cell plasma membrane, symbiont-containing vacuole"		
chr4	PF3D7_0401000	rifin	Non - Mutable in CDS	0.647	-2.308	0	5.99		8	8.6	930	73268	74340	-	597	183	6.8	antigenic variation	N/A	host cell plasma membrane		
chr4	PF3D7_0401100	"Plasmodium exported protein, unknown function, fragment"	Non - Mutable in CDS	0.128	-2.665	0	0.98	tentative	3	14.08	213	76033	76245	-	80	46	4.17	N/A	N/A	N/A		
chr4	PF3D7_0401200	rifin	Non - Mutable in CDS	0.981	-2.383	0	1.17	tentative	7	6.34	1104	79193	80451	+	597	183	3.99	"antigenic variation, cytoadherence to microvasculature, mediated by symbiont protein, modulation by symbiont of host erythrocyte aggregation"	N/A	"Maurer's cleft, host cell plasma membrane, symbiont-containing vacuole"		
chr4	PF3D7_0401300	rifin	Non - Mutable in CDS	0.408	-2.476	0	5.74		11	9.75	1128	82247	83575	+	597	183	7.65	"antigenic variation, cytoadherence to microvasculature, mediated by symbiont protein, modulation by symbiont of host erythrocyte aggregation"	N/A	"Maurer's cleft, host cell plasma membrane, symbiont-containing vacuole"		
chr4	PF3D7_0401400	rifin	Non - Mutable in CDS	0.145	-2.706	0	3.51		13	13.13	990	85397	86608	+	597	183	5.71	"antigenic variation, cytoadherence to microvasculature, mediated by symbiont protein, modulation by symbiont of host erythrocyte aggregation"	N/A	"Maurer's cleft, host cell plasma membrane, symbiont-containing vacuole"		
chr4	PF3D7_0401500	"stevor, pseudogene"	Non - Mutable in CDS	0.42	-2.547	0	3.79		9	9.68	930	89153	90184	+	102	40	3.16	antigenic variation	N/A	host cell plasma membrane		
chr4	PF3D7_0401600.1	rifin	Non - Mutable in CDS	0.962	-2.624	0	2.43	tentative	7	6.7	1044	92576	93809	-	597	183	5.72	N/A	N/A	N/A		
chr4	PF3D7_0401700	"Plasmodium exported protein, unknown function, pseudogene"	Mutable in CDS	0.957	-2.627	1	14.68		18	13.54	1329	100684	102110	+	12	8	4.22	N/A	N/A	apicoplast		
chr4	PF3D7_0401800	"Plasmodium exported protein (PHISTb), unknown function"	Non - Mutable in CDS	0.837	-2.347	0	5.91		13	7.72	1683	103742	105603	-	3	1	5.4	N/A	N/A	"Maurer's cleft, host cell periphery"		
chr4	PF3D7_0401900	acyl-CoA synthetase	Mutable in CDS	1	-0.574	2	198.08		38	13.03	2916	108380	111295	-	48	8	4.73	fatty acid transport	long-chain fatty acid-CoA ligase activity	N/A		
chr4	PF3D7_0402000	"Plasmodium exported protein (PHISTa), unknown function"	Non - Mutable in CDS	0.202	-2.787	0	4.31		15	11.66	1287	114601	116058	-	80	46	2.59	N/A	protein binding	symbiont-containing vacuole membrane		
chr4	PF3D7_0402100	"Plasmodium exported protein (PHISTb), unknown function"	Mutable in CDS	1	-0.876	6	213.14		26	15.05	1728	123586	125462	-	49	20	6.8	N/A	N/A	host cell cytoplasm		
chr4	PF3D7_0402200	"surface-associated interspersed protein 4.1 (SURFIN 4.1), pseudogene"	Mutable in CDS	1	0.291	2	783.73		75	11.27	6657	127710	134466	-	318	9	10.63	N/A	N/A	N/A		
chr4	PF3D7_0402300	reticulocyte binding protein homologue 1	Mutable in CDS	1	-2.533	6	163.51		139	15.59	8916	137639	146652	+	2	0	4.49	single organismal cell-cell adhesion	"heparin binding, host cell surface receptor binding"	rhoptry		
chr4	PF3D7_0402400	"Plasmodium exported protein, unknown function"	Mutable in CDS	0.813	-2.989	1	3.16		12	15.69	765	147490	148380	-	2	0	8.5	N/A	N/A	N/A		
chr4	PF3D7_0402500	"rifin, pseudogene"	Non - Mutable in CDS	0.177	-2.846	0	3.53		12	12.16	987	155877	156984	+	597	183	3.72	N/A	N/A	N/A		
chr4	PF3D7_0402600	stevor	Non - Mutable in CDS	1	-1.57	0	2.76	tentative	4	4.42	906	159279	160314	-	102	40	4.56	modulation by symbiont of host erythrocyte aggregation	N/A	Maurer's cleft		
chr4	PF3D7_0402700	"rifin, pseudogene"	Mutable in CDS	1	-0.852	1	9		7	7.03	996	162511	163724	-	597	183	4.27	N/A	N/A	N/A		
chr4	PF3D7_0402800	"erythrocyte membrane protein 1 (PfEMP1), pseudogene"	Mutable in CDS	1	-2.199	1	14.6		27	6.58	4104	167458	171985	+	204	98	5.32	N/A	N/A	N/A		
chr4	PF3D7_0402900	"probable protein, unknown function"	Mutable in CDS	0.202	0.236	1	147.72		7	23.33	300	172506	172914	-	2	0	3.5	N/A	N/A	N/A		
chr4	PF3D7_0403100	"regulator of chromosome condensation, putative"	Non - Mutable in CDS	0.141	-2.908	0	9.43		25	13.29	1881	175370	177250	-	18	0	2.5	N/A	N/A	N/A		
chr4	PF3D7_0403200	"conserved Plasmodium protein, unknown function"	Mutable in CDS	1	-0.513	2	99.59		14	8.32	1683	178516	180198	+	17	0	4.04	N/A	N/A	N/A		
chr4	PF3D7_0403300	"conserved Plasmodium protein, unknown function"	Non - Mutable in CDS	0.165	-3.237	0	1.54	tentative	9	19.61	459	180428	181549	-	18	0	5	N/A	N/A	N/A		
chr4	PF3D7_0403400	"conserved Plasmodium protein, unknown function"	Mutable in CDS	0.936	-2.787	1	77.76		161	14.03	11478	182868	194710	+	18	0	4.66	N/A	N/A	N/A		
chr4	PF3D7_0403500	"ubiquitin specific protease, putative"	Non - Mutable in CDS	0.197	-3.366	0	15.79		25	20.78	1203	195541	196743	+	18	0	1	protein deubiquitination	ubiquitin thiolesterase activity	proteasome complex		
chr4	PF3D7_0403600	"conserved Plasmodium protein, unknown function"	Mutable in CDS	0.944	-1.816	1	42.85		32	13.87	2307	197844	201206	-	18	0	3.92	N/A	N/A	N/A		
chr4	PF3D7_0403700	"pre-mRNA-splicing factor CLF1, putative"	Mutable in CDS	0.979	-2.886	1	3.57		30	12.8	2343	206222	209398	-	19	0	7	spliceosomal complex assembly	RNA binding	N/A		
chr4	PF3D7_0403800	"alpha/beta hydrolase, putative"	Non - Mutable in CDS	0.128	-2.948	0	12.54		31	14.06	2205	211519	213858	-	46	2	3.4	N/A	N/A	N/A		
chr4	PF3D7_0403900	"SET domain protein, putative"	Mutable in CDS	1	-1.974	3	37.54		37	10.39	3561	219086	222837	+	18	0	4.08	N/A	N/A	N/A		
chr4	PF3D7_0404000	"conserved Plasmodium protein, unknown function"	Non - Mutable in CDS	1	-1.56	0	2.1	tentative	1	3.33	300	223710	224130	-	18	0	4	N/A	N/A	N/A		
chr4	PF3D7_0404100	"transcription factor with AP2 domain(s), putative"	Mutable in CDS	1	-0.435	6	277.91		65	9.54	6816	224778	231732	-	14	0	3.8	"regulation of transcription, DNA-templated"	DNA binding	nucleus		
chr4	PF3D7_0404200	"conserved Plasmodium protein, unknown function"	Non - Mutable in CDS	0.126	-3.009	0	3.51	tentative	7	14.23	492	232594	233248	-	17	0	4	N/A	N/A	N/A		
chr4	PF3D7_0404300	"conserved Plasmodium protein, unknown function"	Non - Mutable in CDS	0.999	-1.699	0	4.82	tentative	10	5.27	1896	234013	237012	-	18	0	7.57	intracellular transport	N/A	apicoplast		
chr4	PF3D7_0404400	6-cysteine protein	Mutable in CDS	1	-1.727	2	30.4		13	11.4	1140	238359	239498	-	18	0	2.17	N/A	protein binding	N/A		
chr4	PF3D7_0404500	6-cysteine protein	Non - Mutable in CDS	0.123	-3.017	0	12.16		21	14.61	1437	240910	242346	-	18	0	1.67	N/A	N/A	N/A		
chr4	PF3D7_0404600	"conserved Plasmodium membrane protein, unknown function"	Mutable in CDS	1	-1.095	16	499.76		134	10.82	12381	247713	260093	+	17	0	3.86	N/A	N/A	N/A		
chr4	PF3D7_0404700	dipeptidyl aminopeptidase 3	Non - Mutable in CDS	0.166	-2.81	0	14.94		35	12.41	2820	260398	263362	-	18	0	5.06	protein catabolic process	cysteine-type peptidase activity	apicoplast		
chr4	PF3D7_0404800	"conserved Plasmodium protein, unknown function"	Mutable in CDS	1	0.299	10	1008.68		25	14.67	1704	264249	266114	-	18	0	7.5	N/A	N/A	nucleus		
chr4	PF3D7_0404900	6-cysteine protein	Mutable in CDS	0.799	-3.133	1	5.52		18	15.83	1137	267188	268324	-	20	0	6	N/A	protein binding	"anchored component of plasma membrane, cell surface, symbiont-containing vacuolar space"		
chr4	PF3D7_0405000	"ATP-dependent RNA helicase DDX51, putative"	Non - Mutable in CDS	0.131	-3.135	0	16.08		30	17.61	1704	268904	271078	-	19	0	1.09	RNA metabolic process	ATP-dependent RNA helicase activity	N/A		
chr4	PF3D7_0405100	protein transport protein Sec24B	Non - Mutable in CDS	0.318	-2.636	0	17.81		42	10.36	4053	272199	276768	-	18	0	2.95	protein transport by the Sec complex	protein transporter activity	N/A		
chr4	PF3D7_0405200	ag-1 blood stage membrane protein homologue	Non - Mutable in CDS	0.513	-2.366	0	6.91		16	9.2	1740	279038	281949	+	18	0	11.6	N/A	N/A	N/A		
chr4	PF3D7_0405300	"liver specific protein 2, putative"	Mutable in CDS	1	-0.408	6	378.59		55	9.33	5895	282369	288263	-	10	0	5.43	"cytoadherence to microvasculature, mediated by symbiont protein"	cell adhesion molecule binding	"host cell nucleus, plasma membrane, symbiont-containing vacuole"		
chr4	PF3D7_0405400	"pre-mRNA-processing-splicing factor 8, putative"	Non - Mutable in CDS	0.17	-2.781	0	40.49		116	12.33	9411	291217	300942	+	18	0	2.06	N/A	N/A	spliceosomal complex		
chr4	PF3D7_0405500	"conserved Plasmodium protein, unknown function"	Mutable in CDS	0.581	-0.532	1	52.23		12	17.78	675	301225	302233	-	18	0	9	N/A	N/A	N/A		
chr4	PF3D7_0405600	"conserved Plasmodium membrane protein, unknown function"	Non - Mutable in CDS	0.122	-3.091	0	8.73		14	14.77	948	303285	305303	+	17	0	1.67	N/A	N/A	N/A		
chr4	PF3D7_0405700	"lysine decarboxylase, putative"	Mutable in CDS	1	-1.317	10	357.99		103	14.21	7248	305706	312953	-	19	0	2.79	lysine catabolic process	lysine decarboxylase activity	N/A		
chr4	PF3D7_0405800	"conserved Plasmodium protein, unknown function"	Non - Mutable in CDS	0.12	-2.867	0	4.6	tentative	5	16.18	309	315490	315798	+	18	0	1	N/A	N/A	N/A		
chr4	PF3D7_0405900	apical sushi protein	Mutable in CDS	1	-1.636	2	21.91		19	8.65	2196	316468	319106	-	18	0	10.6	N/A	binding	"anchored component of plasma membrane, rhoptry neck"		
chr4	PF3D7_0406000	"conserved Plasmodium protein, unknown function"	Non - Mutable in CDS	0.165	-2.811	0	8.98		19	12.44	1527	320982	322508	+	18	0	6.4	N/A	N/A	N/A		
chr4	PF3D7_0406100	V-type proton ATPase subunit B	Non - Mutable in CDS	0.353	-2.635	0	6.52		15	10.1	1485	323230	325188	-	18	0	0.22	vacuolar acidification	"protein binding, proton-transporting ATPase activity, rotational mechanism"	N/A		
chr4	PF3D7_0406200	sexual stage-specific protein precursor	Non - Mutable in CDS	0.158	0	0	0	tentative	6	12.66	474	329179	329652	+	11	0	1	N/A	N/A	"integral component of membrane, symbiont-containing vacuole membrane"		
chr4	PF3D7_0406400	cytosolic glyoxalase II	Mutable in CDS	0.592	-1.357	1	27.3		14	17.68	792	331980	333791	+	18	0	3	N/A	hydroxyacylglutathione hydrolase activity	cytosol		
chr4	PF3D7_0406500	"NYN domain-containing protein, putative"	Mutable in CDS	1	-1.598	20	342.24		100	10.38	9636	334217	343989	-	18	0	5.27	N/A	N/A	N/A		
chr4	PF3D7_0406600	"conserved Plasmodium protein, unknown function"	Non - Mutable in CDS	0.126	0	0	0	tentative	6	14.29	420	346235	346654	+	17	0	2	N/A	N/A	N/A		
chr4	PF3D7_0406700	"conserved Plasmodium protein, unknown function"	Non - Mutable in CDS	0.119	-3.106	0	11.26		40	15.72	2544	347385	351441	+	18	0	2.15	N/A	N/A	N/A		
chr4	PF3D7_0406800	"ribosomal protein L25, putative"	Non - Mutable in CDS	0.205	-2.7	0	6.24		10	11.61	861	351469	352925	-	18	0	2.6	N/A	N/A	N/A		
chr4	PF3D7_0406900	"conserved Plasmodium protein, unknown function"	Mutable in CDS	1	-1.779	4	102.46		57	10.84	5256	353595	359818	-	16	0	4.81	N/A	N/A	N/A		
chr4	PF3D7_0407000	"conserved Plasmodium protein, unknown function"	Non - Mutable in CDS	0.127	-3.118	0	9.15		21	17.24	1218	360487	361704	-	16	0	5.6	N/A	N/A	N/A		
chr4	PF3D7_0407100	"methyltransferase, putative"	Non - Mutable in CDS	0.786	-2.53	0	4.45		8	7.98	1002	362241	363382	+	18	0	6.33	N/A	N/A	N/A		
chr4	PF3D7_0407200	"peptidyl-tRNA hydrolase 2, putative"	Non - Mutable in CDS	0.297	-2.499	0	1.73		6	10.53	570	363539	364873	-	18	0	0	N/A	N/A	N/A		
chr4	PF3D7_0407300	"transcription factor, putative"	Non - Mutable in CDS	0.119	-3.016	0	7.63		15	15.58	963	366319	367281	+	18	0	6.5	N/A	N/A	N/A		
chr4	PF3D7_0407400	"conserved Plasmodium protein, unknown function"	Mutable in CDS	1	0.358	5	277.83		5	16.18	309	367795	368103	-	18	0	0	N/A	N/A	N/A		
chr4	PF3D7_0407500	"mitochondrial carrier protein, putative"	Non - Mutable in CDS	0.145	-3.036	0	5.67		15	13.12	1143	369835	371216	+	18	0	2	N/A	N/A	N/A		
chr4	PF3D7_0407600	"conserved Plasmodium protein, unknown function"	Mutable in CDS	1	-2.501	1	19.94		34	9.35	3636	372997	376632	+	8	0	4.32	N/A	N/A	N/A		
chr4	PF3D7_0407700	"conserved Plasmodium protein, unknown function"	Mutable in CDS	1	-1.61	12	247.55		68	13.91	4890	377436	383012	-	18	0	2.63	N/A	N/A	N/A		
chr4	PF3D7_0407800	"conserved Plasmodium protein, unknown function"	Non - Mutable in CDS	0.22	-2.733	0	26.65		67	11.39	5883	384841	390723	+	18	0	3.88	N/A	N/A	N/A		
chr4	PF3D7_0407900	"AAA family ATPase, putative"	Mutable in CDS	1	-1.68	3	65.5		22	10.98	2004	391264	393267	-	18	0	1.84	N/A	ATPase activity	N/A		
chr4	PF3D7_0408000	"conserved Plasmodium protein, unknown function"	Non - Mutable in CDS	0.418	-2.249	0	4.09		5	9.69	516	393982	394497	-	18	0	3.33	N/A	N/A	N/A		
chr4	PF3D7_0408100	"conserved Plasmodium protein, unknown function"	Mutable in CDS	1	-1.888	4	71.96		40	11.88	3366	397245	400610	+	18	0	8.8	N/A	N/A	N/A		
chr4	PF3D7_0408200	"conserved Plasmodium protein, unknown function"	Non - Mutable in CDS	0.196	-2.626	0	12.78		22	11.77	1869	401391	403259	+	18	0	2.58	N/A	N/A	N/A		
chr4	PF3D7_0408300	"zinc finger Ran-binding domain-containing protein 2, putative"	Non - Mutable in CDS	1	-1.863	0	2.25	tentative	5	4.83	1035	403551	405291	-	18	0	0.46	N/A	poly(A) RNA binding	nucleus		
chr4	PF3D7_0408400	"conserved Plasmodium protein, unknown function"	Non - Mutable in CDS	0.127	-2.866	0	8.84		20	14.12	1416	406158	407844	-	18	0	1	N/A	N/A	N/A		
chr4	PF3D7_0408500	flap endonuclease 1	Mutable in CDS	0.999	-0.586	2	213.59		31	15.35	2019	408614	410632	-	18	0	4.67	N/A	flap endonuclease activity	N/A		
chr4	PF3D7_0408600	sporozoite invasion-associated protein 1	Mutable in CDS	1	-1.302	3	69.62		27	9.14	2955	413338	416292	+	18	0	21.5	N/A	N/A	apical part of cell		
chr4	PF3D7_0408700	perforin-like protein 1	Mutable in CDS	1	-1.461	1	14.86		18	7.12	2529	417307	420759	-	36	1	8.33	N/A	"calcium ion binding, wide pore channel activity"	"cell surface, host cell membrane, microneme, symbiont-containing vacuole membrane"		
chr4	PF3D7_0408800	"conserved Plasmodium protein, unknown function"	Non - Mutable in CDS	0.892	-2.905	0	2.02		7	7.38	948	421946	422893	-	18	0	5.33	N/A	N/A	N/A		
chr4	PF3D7_0408900.1	tRNA N6-adenosine threonylcarbamoyltransferase	Non - Mutable in CDS	0.138	-2.739	0	18.26		28	13.45	2082	424235	427129	+	19	1	4.4	N/A	N/A	N/A		
chr4	PF3D7_0409000	"conserved Plasmodium protein, unknown function"	Mutable in CDS	1	-0.787	15	471.89		94	12.2	7704	427599	435302	-	20	0	5.38	N/A	N/A	N/A		
